ID	Word	Definition	Class	Register	CEFR Level	IPA	Image	Example	Cambridge Examples	Audio	Definition Audio	Example Audio	Explanation	Morphology	Etymology	Connected Words	Hint	Tags
bullet	bullet	"A <span id=""word-in-definition"">bullet</span> is a small metal object that is shot out of guns."	noun		B2	/ˈbʊl.ɪt/	"<img src=""bullet.jpg"" />"	bullets come in different sizes for different guns.	• A bullet had lodged in the boy's leg.	[sound:bullet.mp3]	[sound:bullet_meaning.mp3]	[sound:bullet_example.mp3]						English::cefr-B2
devil	devil	"The <span id=""word-in-definition"">devil</span> is a powerful evil spirit in some religions."	noun		B2	/ˈdev.əl/	"<img src=""devil.jpg"" />"	The church promised protection from the devil.	• The devil was painted with horns and cloven hoofs.	[sound:devil.mp3]	[sound:devil_meaning.mp3]	[sound:devil_example.mp3]						English::cefr-B2
fountain	fountain	"A <span id=""word-in-definition"">fountain</span> is a stream of water that is forced up into the air through a small hole, especially for decorative effect, or the structure in a lake or pool from which this flow."	noun		B1	/ˈfaʊn.tən/	"<img src=""fountain.jpg"" />"	There was a beautiful fountain in the middle of the park.	"• There was a picture of the Trevi fountain on the front of the book.
<br>• They also sell garden ornaments such as statues and fountains."	[sound:fountain.mp3]	[sound:fountain_meaning.mp3]	[sound:fountain_example.mp3]						English::cefr-B1
harbor	harbor	"A <span id=""word-in-definition"">harbor</span> is an area of water next to the coast, often protected from the ocean by a thick wall, where ships and boats can shelter.<br>"	noun		B1	/ˈhɑːr.bɚ/	"<img src=""harbor.jpg"" />"	There were a few small boats in the harbor.	• Our hotel room overlooked a pretty little fishing harbor.	[sound:harbor.mp3]	[sound:harbor_meaning.mp3]	[sound:harbor_example.mp3]						English::cefr-B1
port	port	"A <span id=""word-in-definition"">port</span> is a place where ships stop to load and unload things."	noun		B1	/pɔːrt/	"<img src=""port.jpg"" />"	The ship was being loaded with materials at the port.	"• a naval/fishing/container port
<br>• We had a good view of all the ships coming into/leaving port."	[sound:port.mp3]	[sound:port_meaning.mp3]	[sound:port_example.mp3]						English::cefr-B1
sweat	sweat	"To <span id=""word-in-definition"">sweat</span> means to lose liquid from the body through the skin."	verb		B2	/swet/	"<img src=""sweat.jpg"" />"	Whenever I workout, I sweat quite a bit.	"• It was so hot when we arrived in Tripoli that we started to sweat as soon as we got off the plane.
<br>• The prisoners were sweating with fear.
<br>• informal I was so afraid, I was sweating like a pig (= sweating a lot)."	[sound:sweat.mp3]	[sound:sweat_meaning.mp3]	[sound:sweat_example.mp3]						English::cefr-B2
voyage	voyage	"A <span id=""word-in-definition"">voyage</span> is a long journey made on a boat or an aircraft."	noun		B2	/ˈvɔɪ.ɪdʒ/	"<img src=""voyage.jpg"" />"	The astronauts took off on a long voyage to the moon.	"• He was a young sailor on his first sea voyage.
<br>• figurative The first year of a loving relationship is a voyage (= period) of discovery."	[sound:voyage.mp3]	[sound:voyage_meaning.mp3]	[sound:voyage_example.mp3]						English::cefr-B2
assure	assure	"To <span id=""word-in-definition"">assure</span> someone is to tell them something is true to make them less worried."	verb		B2	/əˈʃʊr/	"<img src=""assure.jpg"" />"	He assure the boss that the building would be done on time.	"• The unions assured the new owners of the workers' loyalty to the company.
<br>• <span class=""c-grammar-use"">[ + speech ]</span> ""Don't worry, your car will be ready tomorrow,"" the mechanic assured him.
<br>• <span class=""c-grammar-use"">[ + (that) ]</span> She assured him (that) the car would be ready the next day.
<br>• The prime minister assured the electorate (that) taxes would not be increased after the election.
<br>• You can rest assured (= feel confident) that I shall be there as promised."	[sound:assure.mp3]	[sound:assure_meaning.mp3]	[sound:assure_example.mp3]						English::cefr-B2
bleed	bleed	"To <span id=""word-in-definition"">bleed</span> is to lose blood."	verb		B1	/bliːd/	"<img src=""bleed.jpg"" />"	If you are not careful, you will cut your finger and bleed.	"• Your arm is bleeding.
<br>• He was bleeding heavily."	[sound:bleed.mp3]	[sound:bleed_meaning.mp3]	[sound:bleed_example.mp3]						English::cefr-B1
departure	departure	"A <span id=""word-in-definition"">departure</span> is the act of leaving a place."	noun		B1	/dɪˈpɑːr.tʃɚ/	"<img src=""departure.jpg"" />"	They were excited about their departure back home.	"• There are several departures (= buses, trains, or aircraft leaving) for Paris every day.
<br>• Our departure was delayed because of bad weather.
<br>• departure time"	[sound:departure.mp3]	[sound:departure_meaning.mp3]	[sound:departure_example.mp3]						English::cefr-B1
impolite	impolite	"If someone is <span id=""word-in-definition"">impolite</span>, they are rude."	adjective	formal	B2	/ˌɪm.pəlˈaɪt/	"<img src=""impolite.jpg"" />"	Roger is impolite to everyone he meets.	"• impolite language/behaviour
<br>• It is impolite to point at people.
<br>• It would be impolite to leave in the middle of the band's set."	[sound:impolite.mp3]	[sound:impolite_meaning.mp3]	[sound:impolite_example.mp3]						English::cefr-B2
kneel	kneel	"To <span id=""word-in-definition"">kneel</span> is to put one or both knees on the ground."	verb		B2	/niːl/	"<img src=""kneel.jpg"" />"	Daryl got down on one knee and asked Nina to marry him.	"• She knelt (down) beside the child.
<br>• He knelt in front of the altar and prayed."	[sound:kneel.mp3]	[sound:kneel_meaning.mp3]	[sound:kneel_example.mp3]						English::cefr-B2
massive	massive	"If something is <span id=""word-in-definition"">massive</span>, it is very big."	adjective		B2	/ˈmæs.ɪv/	"<img src=""massive.jpg"" />"	The wheels on his truck were massive.	"• They have a massive house.
<br>• She died after taking a massive overdose of drugs.
<br>• If the drought continues, deaths will occur on a massive scale."	[sound:massive.mp3]	[sound:massive_meaning.mp3]	[sound:massive_example.mp3]						English::cefr-B2
panic	panic	"To <span id=""word-in-definition"">panic</span> is to feel so nervous or afraid that you cannot think clearly."	verb		B2	/ˈpæn.ɪk/	"<img src=""panic.jpg"" />"	Everyone panicked when the house caught on fire.	"• Don't panic! Everything will be okay.
<br>• The sound of gunfire panicked the crowd.
<br>• The boss always panics over/about the budget every month."	[sound:panic.mp3]	[sound:panic_meaning.mp3]	[sound:panic_example.mp3]						English::cefr-B2
priority	priority	"A <span id=""word-in-definition"">priority</span> is something that is more important than other things."	noun		B2	/praɪˈɔːr.ə.t̬i/	"<img src=""priority.jpg"" />"	My priority is to get good grades in school.	"• The management did not seem to consider office safety to be a priority.
<br>• My first/top priority is to find somewhere to live.
<br>• You have to learn to get your priorities right/straight (= decide which are the most important jobs or problems and deal with them first).
<br>• Repairing the plumbing is a priority task (= more important than other jobs).
<br>• Banks normally give priority to large businesses when deciding on loans (= they deal with them first because they consider them most important).
<br>• Official business requirements obviously take/have priority over personal requests (= official business matters will be dealt with first)."	[sound:priority.mp3]	[sound:priority_meaning.mp3]	[sound:priority_example.mp3]						English::cefr-B2
affair	affair	"An <span id=""word-in-definition"">affair</span> is an event or a thing that happened."	noun		B2	/əˈfer/	"<img src=""affair.jpg"" />"	My wife and I attended a formal affair over the weekend.	• The party turned out to be a quiet affair.	[sound:affair.mp3]	[sound:affair_meaning.mp3]	[sound:affair_example.mp3]						English::cefr-B2
